Value;Millis
278;10673
278;10675
278;10677
278;10679
277;10681
277;10683
277;10685
277;10687
277;10689
277;10691
277;10693
277;10695
278;10697
278;10699
278;10701
278;10703
278;10705
278;10707
279;10710
279;10712
279;10714
280;10716
280;10718
280;10720
281;10722
281;10724
282;10726
282;10728
283;10730
283;10732
284;10734
284;10736
285;10738
285;10740
286;10742
287;10744
288;10746
288;10748
289;10750
289;10752
290;10754
291;10756
292;10758
293;10760
293;10762
294;10764
295;10766
296;10768
297;10770
298;10772
298;10774
299;10776
300;10778
301;10780
302;10782
303;10784
303;10786
304;10788
305;10790
306;10792
307;10795
307;10797
308;10799
309;10801
309;10803
310;10805
310;10807
310;10809
310;10811
311;10813
311;10815
311;10817
311;10819
311;10821
311;10823
310;10825
310;10827
310;10829
309;10831
308;10833
308;10835
307;10838
307;10840
306;10842
305;10844
305;10846
304;10848
303;10850
303;10852
302;10854
301;10856
300;10858
299;10860
299;10862
298;10864
297;10866
297;10868
296;10870
296;10872
294;10874
294;10876
293;10878
293;10880
293;10882
293;10884
292;10886
292;10888
291;10890
291;10892
291;10894
290;10896
289;10898
290;10900
289;10902
289;10904
289;10906
288;10908
288;10910
288;10912
288;10914
288;10916
288;10918
288;10920
288;10923
288;10925
288;10927
287;10929
287;10931
287;10933
287;10935
288;10937
288;10939
288;10941
288;10943
288;10945
288;10947
288;10949
288;10951
288;10953
288;10955
288;10957
288;10959
288;10961
289;10963
289;10966
289;10968
289;10970
289;10972
289;10974
289;10976
289;10978
290;10980
290;10982
290;10984
290;10986
290;10988
290;10990
290;10992
291;10994
291;10996
291;10998
291;11000
292;11002
292;11004
292;11006
292;11008
292;11010
292;11012
293;11014
293;11016
293;11018
293;11020
293;11022
294;11024
294;11026
294;11028
294;11030
294;11032
294;11034
294;11036
294;11038
294;11040
295;11042
295;11044
295;11046
294;11048
295;11051
295;11053
295;11055
296;11057
295;11059
296;11061
296;11063
296;11065
296;11067
296;11069
296;11071
297;11073
297;11075
297;11077
297;11079
297;11081
297;11083
297;11085
297;11087
297;11089
297;11091
297;11094
297;11096
297;11098
298;11100
298;11102
298;11104
298;11106
298;11108
298;11110
298;11112
298;11114
298;11116
298;11118
298;11120
298;11122
298;11124
298;11126
298;11128
298;11130
298;11132
298;11134
298;11136
299;11138
299;11140
299;11142
299;11144
299;11146
299;11148
299;11150
299;11152
299;11154
299;11156
299;11158
299;11160
300;11162
299;11164
299;11166
300;11168
299;11170
299;11172
300;11174
299;11176
300;11179
300;11181
300;11183
300;11185
299;11187
300;11189
300;11191
300;11193
300;11195
300;11197
300;11199
300;11201
300;11203
300;11205
300;11207
300;11209
300;11211
300;11213
300;11215
301;11217
300;11219
300;11222
301;11224
300;11226
301;11228
300;11230
300;11232
301;11234
301;11236
300;11238
300;11240
300;11242
300;11244
300;11246
300;11248
300;11250
300;11252
301;11254
300;11256
300;11258
300;11260
301;11262
301;11264
301;11266
301;11268
301;11270
301;11272
301;11274
301;11276
301;11278
301;11280
301;11282
301;11284
301;11286
301;11288
301;11290
301;11292
301;11294
301;11296
301;11298
301;11300
301;11302
301;11304
301;11307
301;11309
301;11311
301;11313
301;11315
301;11317
301;11319
301;11321
301;11323
301;11325
301;11327
301;11329
301;11331
301;11333
301;11335
301;11337
301;11339
301;11341
301;11343
301;11345
301;11347
301;11350
301;11352
301;11354
301;11356
301;11358
301;11360
301;11362
301;11364
302;11366
302;11368
303;11370
304;11372
305;11374
305;11376
306;11378
307;11380
307;11382
307;11384
308;11386
308;11388
308;11390
308;11392
308;11394
309;11396
309;11398
309;11400
309;11402
309;11404
309;11406
308;11408
308;11410
307;11412
307;11414
306;11416
306;11418
306;11420
305;11422
304;11424
304;11426
304;11428
304;11430
303;11432
303;11435
303;11437
303;11439
302;11441
302;11443
302;11445
301;11447
301;11449
300;11451
299;11453
298;11455
297;11457
296;11459
295;11461
296;11463
298;11465
301;11467
306;11469
312;11471
320;11473
328;11475
337;11478
347;11480
356;11482
364;11484
371;11486
377;11488
382;11490
384;11492
383;11494
380;11496
375;11498
369;11500
364;11502
358;11504
353;11506
349;11508
344;11510
341;11512
337;11514
335;11516
331;11518
330;11520
327;11522
324;11524
322;11526
319;11528
317;11530
314;11532
312;11534
309;11536
307;11538
305;11540
304;11542
302;11544
301;11546
299;11548
297;11550
296;11552
295;11554
293;11556
292;11558
291;11560
290;11563
290;11565
288;11567
288;11569
287;11571
286;11573
286;11575
285;11577
285;11579
284;11581
284;11583
284;11585
283;11587
283;11589
283;11591
283;11593
283;11595
282;11597
282;11599
282;11601
282;11603
282;11606
282;11608
282;11610
282;11612
283;11614
283;11616
283;11618
283;11620
284;11622
284;11624
284;11626
285;11628
285;11630
285;11632
286;11634
286;11636
287;11638
287;11640
287;11642
288;11644
289;11646
289;11648
290;11650
290;11652
291;11654
291;11656
292;11658
293;11660
293;11662
294;11664
295;11666
296;11668
296;11670
297;11672
298;11674
299;11676
300;11678
301;11680
302;11682
302;11684
303;11686
304;11688
305;11691
306;11693
307;11695
308;11697
309;11699
309;11701
311;11703
311;11705
312;11707
313;11709
313;11711
314;11713
314;11715
315;11717
316;11719
316;11721
316;11723
317;11725
317;11727
318;11729
318;11731
318;11734
318;11736
318;11738
317;11740
317;11742
317;11744
316;11746
316;11748
315;11750
315;11752
314;11754
313;11756
312;11758
311;11760
310;11762
310;11764
309;11766
308;11768
307;11770
306;11772
305;11774
304;11776
304;11778
303;11780
302;11782
301;11784
300;11786
299;11788
298;11790
297;11792
296;11794
295;11796
295;11798
294;11800
293;11802
293;11804
292;11806
291;11808
291;11810
290;11812
290;11814
290;11816
289;11819
289;11821
289;11823
288;11825
288;11827
288;11829
287;11831
287;11833
287;11835
287;11837
287;11839
287;11841
287;11843
286;11845
286;11847
286;11849
286;11851
286;11853
286;11855
286;11857
286;11859
286;11862
286;11864
286;11866
286;11868
286;11870
286;11872
286;11874
287;11876
286;11878
286;11880
287;11882
287;11884
287;11886
287;11888
287;11890
287;11892
287;11894
287;11896
287;11898
288;11900
288;11902
288;11904
288;11906
288;11908
288;11910
288;11912
288;11914
289;11916
289;11918
289;11920
289;11922
289;11924
289;11926
290;11928
290;11930
290;11932
290;11934
290;11936
290;11938
290;11940
290;11942
291;11944
291;11947
291;11949
291;11951
291;11953
291;11955
291;11957
292;11959
292;11961
292;11963
292;11965
292;11967
292;11969
293;11971
293;11973
293;11975
293;11977
293;11979
293;11981
293;11983
293;11985
294;11987
294;11990
293;11992
294;11994
294;11996
294;11998
294;12000
294;12002
295;12004
295;12006
295;12008
295;12010
295;12012
295;12014
295;12016
295;12018
295;12020
295;12022
295;12024
295;12026
295;12028
296;12030
296;12032
296;12034
296;12036
296;12038
296;12040
296;12042
296;12044
296;12046
296;12048
296;12050
296;12052
297;12054
297;12056
297;12058
297;12060
297;12062
297;12064
297;12066
297;12068
297;12070
297;12072
297;12075
298;12077
297;12079
297;12081
298;12083
298;12085
298;12087
298;12089
298;12091
298;12093
298;12095
298;12097
298;12099
298;12101
298;12103
298;12105
298;12107
299;12109
298;12111
299;12113
299;12115
299;12118
299;12120
299;12122
299;12124
299;12126
299;12128
299;12130
299;12132
299;12134
299;12136
299;12138
299;12140
299;12142
299;12144
299;12146
299;12148
299;12150
300;12152
299;12154
300;12156
299;12158
299;12160
299;12162
300;12164
299;12166
299;12168
300;12170
300;12172
300;12174
300;12176
299;12178
300;12180
300;12182
300;12184
300;12186
300;12188
300;12190
300;12192
300;12194
300;12196
300;12198
300;12200
300;12203
300;12205
300;12207
300;12209
300;12211
300;12213
300;12215
300;12217
300;12219
300;12221
300;12223
300;12225
300;12227
300;12229
300;12231
300;12233
300;12235
301;12237
301;12239
301;12241
301;12243
301;12246
301;12248
301;12250
300;12252
301;12254
301;12256
301;12258
301;12260
301;12262
301;12264
301;12266
301;12268
301;12270
301;12272
301;12274
301;12276
302;12278
302;12280
303;12282
304;12284
305;12286
305;12288
306;12290
307;12292
307;12294
307;12296
307;12298
308;12300
308;12302
308;12304
308;12306
309;12308
308;12310
308;12312
308;12314
308;12316
308;12318
308;12320
307;12322
307;12324
306;12326
306;12328
305;12331
305;12333
305;12335
304;12337
304;12339
303;12341
303;12343
302;12345
302;12347
302;12349
302;12351
301;12353
301;12355
301;12357
300;12359
300;12361
299;12363
298;12365
297;12367
296;12369
295;12371
295;12374
295;12376
298;12378
302;12380
307;12382
314;12384
323;12386
332;12388
342;12390
