Value;Millis
299;10656
299;10658
299;10660
299;10662
299;10664
299;10667
299;10669
299;10671
299;10673
300;10675
300;10677
300;10679
300;10681
300;10683
300;10685
300;10687
300;10689
300;10691
300;10693
300;10695
301;10697
301;10699
301;10701
301;10703
301;10705
301;10707
301;10710
301;10712
301;10714
301;10716
301;10718
301;10720
301;10722
300;10724
300;10726
298;10728
297;10730
295;10732
294;10734
293;10736
292;10738
292;10740
293;10742
295;10744
298;10746
303;10748
309;10750
313;10752
321;10754
330;10756
338;10758
344;10760
347;10762
348;10764
347;10766
345;10768
343;10770
340;10772
338;10774
335;10776
332;10778
329;10780
325;10782
323;10784
320;10786
318;10788
315;10790
314;10792
312;10795
311;10797
309;10799
308;10801
307;10803
306;10805
305;10807
304;10809
303;10811
303;10813
302;10815
301;10817
301;10819
300;10821
299;10823
299;10825
298;10827
298;10829
298;10831
297;10833
297;10835
297;10838
296;10840
296;10842
296;10844
296;10846
296;10848
296;10850
295;10852
295;10854
295;10856
295;10858
295;10860
295;10862
295;10864
295;10866
295;10868
295;10870
295;10872
295;10874
295;10876
295;10878
295;10880
295;10882
295;10884
295;10886
295;10888
295;10890
295;10892
295;10894
296;10896
296;10898
296;10900
296;10902
296;10904
296;10906
296;10908
296;10910
297;10912
297;10914
297;10916
297;10918
298;10920
298;10923
298;10925
299;10927
299;10929
299;10931
299;10933
299;10935
300;10937
300;10939
301;10941
301;10943
301;10945
302;10947
302;10949
302;10951
303;10953
303;10955
304;10957
304;10959
304;10961
305;10963
305;10966
306;10968
307;10970
307;10972
308;10974
309;10976
309;10978
310;10980
311;10982
311;10984
312;10986
313;10988
314;10990
315;10992
316;10994
317;10996
317;10998
319;11000
319;11002
320;11004
321;11006
322;11008
323;11010
324;11012
324;11014
326;11016
326;11018
327;11020
328;11022
329;11024
329;11026
330;11028
331;11030
331;11032
332;11034
332;11036
332;11038
333;11040
333;11042
333;11044
332;11046
332;11048
332;11051
331;11053
330;11055
330;11057
329;11059
328;11061
327;11063
326;11065
324;11067
323;11069
322;11071
321;11073
319;11075
318;11077
317;11079
315;11081
314;11083
312;11085
311;11087
310;11089
308;11091
307;11094
306;11096
304;11098
303;11100
302;11102
301;11104
300;11106
299;11108
298;11110
297;11112
296;11114
295;11116
294;11118
294;11120
293;11122
292;11124
292;11126
291;11128
290;11130
289;11132
289;11134
289;11136
288;11138
288;11140
287;11142
287;11144
287;11146
287;11148
286;11150
286;11152
286;11154
286;11156
286;11158
286;11160
286;11162
285;11164
286;11166
285;11168
285;11170
285;11172
285;11174
285;11176
285;11179
285;11181
286;11183
285;11185
286;11187
286;11189
286;11191
286;11193
286;11195
286;11197
286;11199
286;11201
287;11203
287;11205
287;11207
287;11209
287;11211
287;11213
288;11215
288;11217
288;11219
288;11222
288;11224
288;11226
288;11228
288;11230
289;11232
289;11234
289;11236
289;11238
289;11240
289;11242
289;11244
289;11246
289;11248
289;11250
290;11252
290;11254
290;11256
290;11258
290;11260
290;11262
291;11264
291;11266
291;11268
291;11270
291;11272
291;11274
291;11276
291;11278
291;11280
292;11282
292;11284
292;11286
292;11288
292;11290
292;11292
293;11294
293;11296
293;11298
293;11300
293;11302
293;11304
293;11307
293;11309
293;11311
293;11313
294;11315
294;11317
294;11319
294;11321
294;11323
294;11325
294;11327
294;11329
295;11331
295;11333
295;11335
295;11337
295;11339
295;11341
295;11343
295;11345
295;11347
295;11350
296;11352
296;11354
296;11356
296;11358
296;11360
296;11362
297;11364
297;11366
297;11368
297;11370
297;11372
297;11374
297;11376
297;11378
297;11380
297;11382
298;11384
298;11386
298;11388
298;11390
298;11392
298;11394
298;11396
298;11398
298;11400
298;11402
298;11404
299;11406
299;11408
299;11410
299;11412
299;11414
299;11416
299;11418
299;11420
299;11422
299;11424
299;11426
299;11428
299;11430
299;11432
299;11435
299;11437
300;11439
299;11441
300;11443
299;11445
300;11447
299;11449
299;11451
299;11453
300;11455
300;11457
300;11459
300;11461
300;11463
300;11465
300;11467
300;11469
300;11471
300;11473
300;11475
300;11478
300;11480
300;11482
300;11484
300;11486
300;11488
300;11490
300;11492
301;11494
300;11496
300;11498
300;11500
300;11502
300;11504
300;11506
300;11508
301;11510
301;11512
300;11514
301;11516
301;11518
300;11520
301;11522
301;11524
301;11526
301;11528
301;11530
301;11532
301;11534
301;11536
300;11538
301;11540
301;11542
301;11544
301;11546
301;11548
301;11550
301;11552
301;11554
301;11556
301;11558
301;11560
301;11563
301;11565
301;11567
301;11569
301;11571
301;11573
301;11575
301;11577
301;11579
301;11581
301;11583
301;11585
301;11587
301;11589
301;11591
301;11593
301;11595
301;11597
301;11599
301;11601
301;11603
301;11606
301;11608
301;11610
301;11612
301;11614
301;11616
301;11618
301;11620
301;11622
301;11624
301;11626
301;11628
300;11630
301;11632
301;11634
301;11636
300;11638
301;11640
301;11642
300;11644
300;11646
300;11648
300;11650
300;11652
300;11654
300;11656
299;11658
300;11660
299;11662
300;11664
299;11666
299;11668
299;11670
298;11672
298;11674
299;11676
299;11678
299;11680
299;11682
299;11684
299;11686
299;11688
300;11691
300;11693
300;11695
300;11697
300;11699
300;11701
300;11703
300;11705
300;11707
300;11709
300;11711
301;11713
301;11715
301;11717
301;11719
301;11721
301;11723
301;11725
301;11727
301;11729
301;11731
300;11734
300;11736
299;11738
298;11740
296;11742
295;11744
293;11746
292;11748
291;11750
290;11752
290;11754
292;11756
294;11758
298;11760
305;11762
313;11764
322;11766
332;11768
340;11770
346;11772
349;11774
350;11776
350;11778
349;11780
347;11782
345;11784
343;11786
340;11788
337;11790
334;11792
331;11794
329;11796
327;11798
324;11800
322;11802
320;11804
319;11806
317;11808
315;11810
314;11812
312;11814
311;11816
310;11819
308;11821
307;11823
306;11825
305;11827
304;11829
303;11831
302;11833
301;11835
300;11837
300;11839
299;11841
298;11843
297;11845
297;11847
297;11849
296;11851
296;11853
295;11855
295;11857
294;11859
294;11862
294;11864
294;11866
293;11868
293;11870
293;11872
293;11874
293;11876
292;11878
292;11880
292;11882
292;11884
292;11886
292;11888
292;11890
292;11892
292;11894
292;11896
292;11898
292;11900
292;11902
292;11904
292;11906
292;11908
292;11910
292;11912
292;11914
292;11916
292;11918
292;11920
293;11922
293;11924
293;11926
293;11928
293;11930
294;11932
294;11934
294;11936
294;11938
294;11940
295;11942
295;11944
295;11947
295;11949
296;11951
296;11953
296;11955
296;11957
297;11959
297;11961
298;11963
298;11965
298;11967
299;11969
299;11971
299;11973
300;11975
300;11977
301;11979
301;11981
302;11983
302;11985
303;11987
303;11990
304;11992
305;11994
305;11996
306;11998
306;12000
307;12002
308;12004
309;12006
310;12008
310;12010
311;12012
312;12014
313;12016
314;12018
315;12020
316;12022
317;12024
317;12026
318;12028
319;12030
319;12032
320;12034
321;12036
322;12038
323;12040
323;12042
324;12044
325;12046
325;12048
325;12050
326;12052
326;12054
326;12056
326;12058
326;12060
326;12062
326;12064
325;12066
325;12068
324;12070
323;12072
323;12075
322;12077
321;12079
320;12081
319;12083
318;12085
317;12087
315;12089
314;12091
313;12093
312;12095
310;12097
309;12099
308;12101
307;12103
306;12105
304;12107
303;12109
302;12111
301;12113
300;12115
299;12118
298;12120
297;12122
296;12124
295;12126
295;12128
294;12130
293;12132
293;12134
292;12136
291;12138
291;12140
290;12142
290;12144
289;12146
289;12148
289;12150
288;12152
288;12154
287;12156
287;12158
287;12160
287;12162
287;12164
286;12166
286;12168
286;12170
286;12172
286;12174
286;12176
286;12178
286;12180
286;12182
286;12184
286;12186
286;12188
286;12190
286;12192
286;12194
286;12196
286;12198
286;12200
286;12203
286;12205
286;12207
287;12209
287;12211
287;12213
287;12215
287;12217
287;12219
288;12221
288;12223
288;12225
288;12227
288;12229
288;12231
288;12233
288;12235
289;12237
289;12239
289;12241
289;12243
289;12246
290;12248
290;12250
290;12252
290;12254
290;12256
290;12258
290;12260
290;12262
291;12264
291;12266
291;12268
291;12270
291;12272
292;12274
292;12276
292;12278
292;12280
292;12282
292;12284
292;12286
292;12288
292;12290
293;12292
292;12294
293;12296
293;12298
293;12300
293;12302
293;12304
293;12306
293;12308
294;12310
293;12312
294;12314
294;12316
294;12318
294;12320
294;12322
294;12324
294;12326
294;12328
294;12331
295;12333
295;12335
295;12337
295;12339
295;12341
295;12343
295;12345
295;12347
295;12349
295;12351
295;12353
295;12355
296;12357
296;12359
296;12361
296;12363
296;12365
296;12367
296;12369
296;12371
297;12374
297;12376
297;12378
297;12380
297;12382
297;12384
297;12386
297;12388
297;12390
297;12392
297;12394
298;12396
298;12398
298;12400
298;12402
298;12404
298;12406
298;12408
298;12410
298;12412
298;12414
298;12416
299;12418
298;12420
299;12422
299;12424
299;12426
299;12428
299;12430
299;12432
299;12434
299;12436
299;12438
299;12440
299;12442
299;12444
299;12446
300;12448
299;12450
299;12452
299;12454
299;12456
299;12459
299;12461
299;12463
299;12465
299;12467
300;12469
300;12471
299;12473
299;12475
299;12477
300;12479
300;12481
300;12483
300;12485
300;12487
300;12489
300;12491
300;12493
300;12495
300;12497
300;12499
300;12502
300;12504
300;12506
300;12508
300;12510
300;12512
300;12514
300;12516
300;12518
300;12520
300;12522
300;12524
300;12526
300;12528
300;12530
300;12532
300;12534
300;12536
300;12538
300;12540
300;12542
300;12544
301;12546
301;12548
300;12550
301;12552
301;12554
301;12556
300;12558
301;12560
301;12562
301;12564
301;12566
301;12568
301;12570
301;12572
301;12574
301;12576
301;12578
301;12580
301;12582
301;12584
301;12587
301;12589
301;12591
301;12593
301;12595
301;12597
301;12599
301;12601
301;12603
301;12605
301;12607
301;12609
301;12611
301;12613
301;12615
301;12617
301;12619
301;12621
301;12623
301;12625
301;12627
301;12630
301;12632
301;12634
301;12636
301;12638
301;12640
301;12642
301;12644
301;12646
301;12648
301;12650
301;12652
301;12654
301;12656
301;12658
301;12660
301;12662
301;12664
301;12666
301;12668
301;12670
301;12672
301;12674
301;12676
301;12678
301;12680
301;12682
301;12684
301;12686
301;12688
301;12690
301;12692
301;12694
301;12696
301;12698
301;12700
301;12702
301;12704
301;12706
302;12708
302;12710
301;12712
301;12715
301;12717
301;12719
302;12721
302;12723
302;12725
302;12727
302;12729
302;12731
302;12733
302;12735
302;12737
302;12739
302;12741
302;12743
302;12745
302;12747
302;12749
302;12751
302;12753
302;12755
302;12758
302;12760
301;12762
301;12764
301;12766
301;12768
301;12770
302;12772
301;12774
301;12776
301;12778
301;12780
301;12782
300;12784
300;12786
300;12788
300;12790
299;12792
300;12794
299;12796
299;12798
299;12800
299;12802
299;12804
299;12806
299;12808
299;12810
299;12812
300;12814
300;12816
300;12818
300;12820
300;12822
301;12824
301;12826
301;12828
301;12830
301;12832
301;12834
301;12836
301;12838
301;12840
301;12843
301;12845
302;12847
302;12849
302;12851
302;12853
302;12855
302;12857
302;12859
302;12861
302;12863
302;12865
301;12867
300;12869
299;12871
297;12873
295;12875
293;12877
292;12879
291;12881
289;12883
289;12886
290;12888
293;12890
297;12892
303;12894
312;12896
322;12898
333;12900
342;12902
348;12904
352;12906
352;12908
351;12910
350;12912
348;12914
345;12916
342;12918
339;12920
336;12922
334;12924
331;12926
330;12928
328;12930
326;12932
324;12934
322;12936
321;12938
319;12940
317;12942
316;12944
314;12946
313;12948
312;12950
310;12952
309;12954
308;12956
307;12958
306;12960
305;12962
304;12964
303;12966
302;12968
302;12971
301;12973
300;12975
299;12977
299;12979
298;12981
298;12983
297;12985
297;12987
296;12989
296;12991
295;12993
295;12995
295;12997
295;12999
294;13001
294;13003
294;13005
294;13007
294;13009
293;13011
293;13014
293;13016
293;13018
293;13020
293;13022
293;13024
293;13026
293;13028
293;13030
293;13032
293;13034
293;13036
293;13038
293;13040
293;13042
293;13044
293;13046
293;13048
293;13050
294;13052
294;13054
294;13056
294;13058
294;13060
294;13062
294;13064
295;13066
295;13068
295;13070
295;13072
295;13074
296;13076
296;13078
296;13080
297;13082
297;13084
297;13086
298;13088
298;13090
298;13092
299;13094
299;13096
299;13099
299;13101
300;13103
300;13105
301;13107
301;13109
302;13111
302;13113
302;13115
303;13117
304;13119
304;13121
305;13123
306;13125
306;13127
307;13129
308;13131
309;13133
309;13135
310;13137
311;13139
312;13142
313;13144
314;13146
314;13148
315;13150
316;13152
318;13154
318;13156
320;13158
320;13160
321;13162
322;13164
323;13166
323;13168
324;13170
325;13172
326;13174
327;13176
327;13178
328;13180
328;13182
328;13184
329;13186
329;13188
329;13190
329;13192
329;13194
329;13196
328;13198
328;13200
327;13202
327;13204
326;13206
325;13208
324;13210
323;13212
322;13214
321;13216
320;13218
318;13220
317;13222
316;13224
315;13227
313;13229
312;13231
310;13233
309;13235
308;13237
307;13239
305;13241
304;13243
303;13245
302;13247
301;13249
300;13251
299;13253
298;13255
297;13257
296;13259
295;13261
295;13263
294;13265
293;13267
292;13270
291;13272
291;13274
291;13276
290;13278
290;13280
289;13282
289;13284
288;13286
288;13288
288;13290
287;13292
287;13294
287;13296
287;13298
286;13300
286;13302
286;13304
286;13306
286;13308
286;13310
286;13312
285;13314
285;13316
285;13318
285;13320
285;13322
285;13324
285;13326
285;13328
285;13330
285;13332
285;13334
285;13336
285;13338
286;13340
286;13342
286;13344
286;13346
286;13348
286;13350
286;13352
287;13355
287;13357
287;13359
287;13361
287;13363
287;13365
288;13367
287;13369
288;13371
288;13373
288;13375
288;13377
288;13379
288;13381
289;13383
289;13385
289;13387
289;13389
289;13391
289;13393
289;13395
289;13398
289;13400
290;13402
290;13404
290;13406
290;13408
290;13410
290;13412
290;13414
291;13416
291;13418
291;13420
291;13422
291;13424
291;13426
291;13428
291;13430
291;13432
292;13434
292;13436
292;13438
292;13440
292;13442
292;13444
292;13446
293;13448
293;13450
293;13452
293;13454
293;13456
293;13458
293;13460
293;13462
294;13464
293;13466
293;13468
294;13470
294;13472
294;13474
294;13476
294;13478
294;13480
294;13483
294;13485
294;13487
294;13489
294;13491
294;13493
295;13495
295;13497
295;13499
295;13501
295;13503
295;13505
295;13507
295;13509
295;13511
295;13513
295;13515
296;13517
296;13519
296;13521
296;13523
296;13526
296;13528
296;13530
296;13532
297;13534
296;13536
297;13538
297;13540
297;13542
297;13544
297;13546
297;13548
297;13550
297;13552
297;13554
297;13556
297;13558
297;13560
297;13562
298;13564
297;13566
297;13568
298;13570
297;13572
298;13574
298;13576
298;13578
298;13580
298;13582
298;13584
298;13586
298;13588
298;13590
299;13592
298;13594
298;13596
298;13598
298;13600
298;13602
299;13604
299;13606
299;13608
299;13611
299;13613
299;13615
299;13617
299;13619
299;13621
299;13623
299;13625
299;13627
299;13629
299;13631
299;13633
299;13635
299;13637
299;13639
299;13641
300;13643
299;13645
299;13647
300;13649
299;13651
299;13654
299;13656
300;13658
300;13660
300;13662
300;13664
299;13666
300;13668
300;13670
299;13672
300;13674
300;13676
300;13678
300;13680
300;13682
300;13684
300;13686
300;13688
300;13690
300;13692
300;13694
300;13696
300;13698
300;13700
300;13702
300;13704
300;13706
300;13708
300;13710
300;13712
300;13714
300;13716
300;13718
300;13720
300;13722
300;13724
300;13726
300;13728
300;13730
300;13732
300;13734
300;13736
300;13739
300;13741
300;13743
301;13745
300;13747
301;13749
300;13751
300;13753
300;13755
300;13757
301;13759
300;13761
300;13763
301;13765
300;13767
300;13769
300;13771
300;13773
301;13775
300;13777
300;13779
300;13782
300;13784
300;13786
300;13788
300;13790
299;13792
299;13794
299;13796
299;13798
299;13800
299;13802
299;13804
299;13806
298;13808
298;13810
298;13812
298;13814
298;13816
298;13818
298;13820
298;13822
298;13824
299;13826
299;13828
299;13830
299;13832
300;13834
299;13836
300;13838
300;13840
300;13842
300;13844
300;13846
300;13848
300;13850
300;13852
300;13854
301;13856
301;13858
301;13860
301;13862
301;13864
301;13867
301;13869
301;13871
301;13873
300;13875
299;13877
298;13879
297;13881
295;13883
294;13885
292;13887
291;13889
291;13891
291;13893
293;13895
296;13897
300;13899
306;13901
314;13903
323;13905
333;13907
